remark,CSV-Import-Export,,,,,
remark,Date = Mon Apr 27 11:01:25 2009,,,,,
remark,Version = RSLogix 5000 v17.00,,,,,
remark,Owner = user,,,,,
remark,Company = tetratech,,,,,
0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
COMMENT,,Local:2:I,BLR-400$NIn-Auto,,Local:2:I.DATA.0,
COMMENT,,Local:2:I,BLR-400$NRunning,,Local:2:I.DATA.1,
COMMENT,,Local:2:I,BLR-400$NFault,,Local:2:I.DATA.2,
COMMENT,,Local:2:I,Secondary Tank #1$NRunning,,Local:2:I.DATA.3,
COMMENT,,Local:2:I,Secondary Tank #1$NIn-Auto,,Local:2:I.DATA.4,
COMMENT,,Local:2:I,Secondary Tank #1$NTorque,,Local:2:I.DATA.5,
COMMENT,,Local:2:I,Secondary Tank #2$NRunning,,Local:2:I.DATA.6,
COMMENT,,Local:2:I,Secondary Tank #2$NIn-Auto,,Local:2:I.DATA.7,
COMMENT,,Local:2:I,Secondary Tank #2$NTorque,,Local:2:I.DATA.8,
COMMENT,,Local:2:I,M-400$NRunning,,Local:2:I.DATA.9
COMMENT,,Local:2:I,M-400$NFault,,Local:2:I.DATA.10
COMMENT,,Local:2:I,M-400$NIn-Auto,,Local:2:I.DATA.11
COMMENT,,Local:2:I,M-401$NRunning,,Local:2:I.DATA.12
COMMENT,,Local:2:I,M-401$NFault,,Local:2:I.DATA.13
COMMENT,,Local:2:I,M-401$NIn-Auto,,Local:2:I.DATA.14
COMMENT,,Local:3:I,M-402$NRunning,,Local:3:I.DATA.0
COMMENT,,Local:3:I,M-402$NFault,,Local:3:I.DATA.1
COMMENT,,Local:3:I,M-402$NIn-Auto,,Local:3:I.DATA.2
COMMENT,,Local:3:I,M-403$NRunning,,Local:3:I.DATA.3
COMMENT,,Local:3:I,M-403$NFault,,Local:3:I.DATA.4
COMMENT,,Local:3:I,M-403$NIn-Auto,,Local:3:I.DATA.5
COMMENT,,Local:3:I,,,Local:3:I.DATA.6
COMMENT,,Local:3:I,,,Local:3:I.DATA.7
COMMENT,,Local:3:I,,,Local:3:I.DATA.8
COMMENT,,Local:3:I,,,Local:3:I.DATA.9
COMMENT,,Local:3:I,,,Local:3:I.DATA.10
COMMENT,,Local:3:I,,,Local:3:I.DATA.11
COMMENT,,Local:3:I,,,Local:3:I.DATA.12
COMMENT,,Local:3:I,,,Local:3:I.DATA.13
COMMENT,,Local:3:I,,,Local:3:I.DATA.14
COMMENT,,Local:4:O,Secondary Tank #1$NStart/Stop,,Local:4:O.DATA.0
COMMENT,,Local:4:O,Secondary Tank #2$NStart/Stop,,Local:4:O.DATA.1
COMMENT,,Local:4:O,BLR-400$NStart/Stop,,Local:4:O.DATA.2
COMMENT,,Local:4:O,M-400$NStart/Stop,,Local:4:O.DATA.3
COMMENT,,Local:4:O,M-401$NStart/Stop,,Local:4:O.DATA.4
